   ,max_ep ,max_it ,batch ,datas ,LR    ,ue  ,train_t ,res_waste ,rew    ,pred_tt ,er_prc_tt ,er_abs_tt ,pred_rew ,er_prc_rew ,er_abs_rew ,pred_rw ,er_prc_rw ,er_abs_rw
54 ,    77 ,     2 ,  100 ,20352 ,0.006 ,  5 ,  8.571 ,  985.475 ,-1.918 ,  1.599 ,   81.25  ,-6.971    ,-3.681   ,   104.5   ,-1.763     ,530.394 ,   46.0   ,-455.081
53 ,    42 ,     1 ,   30 , 4007 ,0.005 ,  5 ,  2.708 ,  193.878 ,-1.969 ,  2.957 ,    9.837 ,0.249     ,-2.014   ,    44.721 ,-0.045     ,198.714 ,    7.349 ,4.835
52 ,    40 ,     1 ,  150 ,24026 ,0.005 ,  5 ,  4.62  ,  375.987 ,-1.888 ,  3.01  ,   32.84  ,-1.61     ,-2.201   ,   115.34  ,-0.314     ,207.577 ,   44.6   ,-168.41
51 ,    39 ,     2 ,  150 , 1566 ,0.005 ,  5 ,  6.582 ,  620.745 ,-1.889 ,  2.603 ,   58.815 ,-3.98     ,-2.164   ,    72.204 ,-0.274     ,229.737 ,   62.611 ,-391.007
50 ,    30 ,     2 ,  191 ,20290 ,0.005 , 48 ,  8.244 ,  927.978 ,-1.744 ,  1.289 ,   83.622 ,-6.956    ,-2.341   ,   229.622 ,-0.596     ,657.776 ,   28.778 ,-270.202
49 ,    30 ,     2 ,  114 ,19771 ,0.027 , 16 ,  9.086 ,  915.181 ,-2.088 ,  1.844 ,   78.738 ,-7.242    ,-3.441   ,   132.357 ,-1.353     ,419.224 ,   54.0   ,-495.957
46 ,    30 ,     2 ,   30 , 1001 ,0.004 ,  5 ,  3.57  ,  303.054 ,-2.085 ,  2.472 ,   24.176 ,-1.098    ,-2.186   ,    40.765 ,-0.101     ,157.094 ,   35.157 ,-145.96
47 ,    30 ,     2 ,   30 , 1885 ,0.005 ,  5 ,  3.153 ,  263.317 ,-2.031 ,  2.5   ,   20.07  ,-0.653    ,-1.963   ,    43.047 ,0.068      ,161.374 ,   38.535 ,-101.943
48 ,    30 ,     2 ,   30 , 4567 ,0.005 ,  5 ,  3.694 ,  282.428 ,-2.008 ,  2.473 ,   23.82  ,-1.221    ,-1.973   ,    48.02  ,0.036      ,149.58  ,   30.88  ,-132.847
42 ,    30 ,     1 ,   30 , 1000 ,0.005 ,  5 ,  2.19  ,  120.623 ,-2.232 ,  2.904 ,   32.925 ,0.714     ,-2.166   ,    24.7   ,0.066      ,160.825 ,   34.425 ,40.202
43 ,    30 ,     1 ,   30 ,17882 ,0.005 ,  5 ,  2.185 ,  122.551 ,-2.129 ,  2.935 ,   34.725 ,0.75      ,-1.993   ,    30.5   ,0.136      ,156.366 ,   29.35  ,33.816
44 ,    30 ,     1 ,   30 ,19478 ,0.005 ,  5 ,  2.193 ,  123.026 ,-2.221 ,  2.935 ,   34.4   ,0.742     ,-1.983   ,    31.85  ,0.238      ,156.408 ,   28.55  ,33.382
45 ,    30 ,     1 ,   30 ,25151 ,0.005 ,  5 ,  2.164 ,  121.459 ,-2.21  ,  2.934 ,   36.024 ,0.771     ,-1.984   ,   101.405 ,0.226      ,156.271 ,   29.571 ,34.812
41 ,    28 ,     2 ,   30 , 3031 ,0.005 ,  5 ,  3.135 ,  261.777 ,-2.024 ,  2.506 ,   19.455 ,-0.629    ,-1.967   ,    52.795 ,0.057      ,197.242 ,   24.386 ,-64.536
40 ,    28 ,     1 ,   30 , 3383 ,0.005 ,  5 ,  2.198 ,  126.133 ,-2.296 ,  2.942 ,   34.2   ,0.743     ,-1.978   ,    28.7   ,0.318      ,192.682 ,   54.375 ,66.549
39 ,    24 ,     1 ,   30 , 2575 ,0.005 ,  5 ,  2.19  ,  121.375 ,-2.228 ,  2.942 ,   34.85  ,0.752     ,-1.986   ,    28.925 ,0.242      ,194.593 ,   62.125 ,73.218
38 ,    16 ,     1 ,   30 , 4759 ,0.005 ,  5 ,  2.189 ,  120.704 ,-2.263 ,  2.942 ,   34.707 ,0.753     ,-1.982   ,    30.317 ,0.281      ,194.555 ,   62.39  ,73.85
37 ,    10 ,     2 ,  111 ,22355 ,0.029 ,  1 ,  8.894 ,  934.595 ,-2.0   ,  1.788 ,   79.05  ,-7.106    ,-3.594   ,   138.375 ,-1.593     ,440.966 ,   52.475 ,-493.629
35 ,     8 ,     1 ,   30 ,16991 ,0.005 ,  5 ,  2.652 ,  190.772 ,-1.867 ,  2.956 ,   12.188 ,0.304     ,-2.025   ,    38.0   ,-0.158     ,199.656 ,    5.062 ,8.885
36 ,     8 ,     1 ,   30 ,20725 ,0.005 ,  5 ,  2.146 ,  117.845 ,-2.184 ,  2.941 ,   37.188 ,0.795     ,-1.99    ,    30.781 ,0.193      ,193.273 ,   64.562 ,75.428
34 ,     7 ,     2 ,   30 , 1099 ,0.005 ,  5 ,  3.152 ,  264.697 ,-2.045 ,  2.506 ,   19.667 ,-0.646    ,-1.965   ,    50.533 ,0.08       ,195.425 ,   25.967 ,-69.272
33 ,     6 ,     2 ,   30 , 4786 ,0.005 ,  5 ,  3.143 ,  260.034 ,-2.093 ,  2.506 ,   19.577 ,-0.637    ,-1.96    ,    41.923 ,0.134      ,195.16  ,   24.885 ,-64.874
32 ,     5 ,     1 ,   30 ,23879 ,0.005 ,  5 ,  2.612 ,  188.71  ,-1.819 ,  2.952 ,   13.55  ,0.34      ,-2.025   ,    60.55  ,-0.207     ,177.527 ,    5.55  ,-11.183
30 ,     4 ,     1 ,   30 , 2656 ,0.005 ,  5 ,  2.588 ,  190.582 ,-1.69  ,  2.954 ,   14.375 ,0.365     ,-2.044   ,    46.0   ,-0.354     ,198.595 ,    4.875 ,8.014
31 ,     4 ,     1 ,   30 ,25052 ,0.005 ,  5 ,  2.566 ,  186.079 ,-1.622 ,  2.953 ,   15.438 ,0.387     ,-2.051   ,    49.875 ,-0.429     ,198.201 ,    6.562 ,12.122
29 ,     2 ,     2 ,   30 , 1913 ,0.005 ,  5 ,  3.563 ,  286.576 ,-2.184 ,  2.479 ,   25.9   ,-1.084    ,-1.953   ,    20.1   ,0.232      ,187.453 ,   59.4   ,-99.123
28 ,     2 ,     1 ,   30 , 4226 ,0.005 ,  5 ,  2.107 ,  111.552 ,-2.002 ,  2.94  ,   39.5   ,0.833     ,-2.01    ,    28.0   ,-0.008     ,193.879 ,   73.875 ,82.326
27 ,     1 ,     2 ,  232 ,25403 ,0.006 , 13 ,  8.034 ,  911.941 ,-1.426 ,  1.53  ,   80.25  ,-6.504    ,-2.346   ,    86.0   ,-0.92      ,568.253 ,   37.5   ,-343.688
26 ,     1 ,     2 ,  205 ,19794 ,0.003 , 55 ,  8.861 ,  959.783 ,-1.706 ,  1.105 ,   87.5   ,-7.756    ,-2.52    ,    49.75  ,-0.814     ,743.737 ,   22.25  ,-216.046
25 ,     1 ,     2 ,  204 ,25383 ,0.011 ,  1 ,  9.838 ,  891.522 ,-1.882 ,  1.092 ,   89.0   ,-8.746    ,-2.375   ,    27.25  ,-0.493     ,742.998 ,   16.5   ,-148.524
24 ,     1 ,     2 ,  195 ,19816 ,0.029 ,  4 ,  9.341 ,  894.866 ,-1.796 ,  1.173 ,   87.75  ,-8.168    ,-2.468   ,    38.25  ,-0.672     ,706.6   ,   21.0   ,-188.266
23 ,     1 ,     2 ,  194 ,23379 ,0.013 , 57 ,  9.284 ,  874.984 ,-1.797 ,  1.199 ,   87.0   ,-8.085    ,-2.431   ,    36.0   ,-0.634     ,697.187 ,   20.25  ,-177.796
22 ,     1 ,     2 ,  192 ,19783 ,0.032 , 14 ,  8.953 ,  930.614 ,-1.709 ,  1.26  ,   85.75  ,-7.693    ,-2.494   ,    50.75  ,-0.785     ,669.681 ,   28.0   ,-260.933
21 ,     1 ,     2 ,  189 ,19777 ,0.031 ,  1 ,  8.251 ,  935.688 ,-1.553 ,  1.347 ,   83.0   ,-6.905    ,-2.476   ,    69.25  ,-0.922     ,632.735 ,   32.25  ,-302.953
20 ,     1 ,     2 ,  186 ,20542 ,0.001 ,  3 ,  9.79  ,  896.191 ,-1.962 ,  1.431 ,   85.25  ,-8.359    ,-2.392   ,    22.75  ,-0.43      ,601.13  ,   33.0   ,-295.06
19 ,     1 ,     2 ,  185 ,21707 ,0.003 , 14 ,  8.994 ,  920.158 ,-1.76  ,  1.458 ,   83.25  ,-7.535    ,-2.512   ,    56.0   ,-0.752     ,591.333 ,   35.75  ,-328.826
18 ,     1 ,     2 ,  182 ,23226 ,0.003 ,100 ,  8.783 ,  927.047 ,-1.757 ,  1.544 ,   82.0   ,-7.238    ,-2.66    ,    52.75  ,-0.903     ,556.307 ,   40.0   ,-370.741
17 ,     1 ,     2 ,  153 ,22935 ,0.017 ,  5 ,  9.093 ,  910.547 ,-1.716 ,  2.381 ,   73.75  ,-6.712    ,-2.24    ,    32.0   ,-0.524     ,203.531 ,   77.75  ,-707.016
16 ,     1 ,     2 ,  139 ,22428 ,0.029 , 80 ,  8.635 ,  896.982 ,-1.503 ,  2.276 ,   73.0   ,-6.358    ,-2.811   ,   107.0   ,-1.308     ,242.719 ,   73.0   ,-654.263
15 ,     1 ,     2 ,  133 ,23285 ,0.028 , 87 ,  9.228 ,  895.427 ,-1.776 ,  2.172 ,   76.5   ,-7.056    ,-3.007   ,    70.75  ,-1.231     ,286.026 ,   68.25  ,-609.401
14 ,     1 ,     2 ,  129 ,22612 ,0.009 ,  4 ,  9.964 ,  917.789 ,-1.945 ,  2.101 ,   79.0   ,-7.864    ,-2.878   ,    48.25  ,-0.933     ,314.346 ,   65.75  ,-603.443
13 ,     1 ,     2 ,  123 ,22349 ,0.031 ,  5 , 10.314 ,  905.618 ,-2.007 ,  1.996 ,   80.5   ,-8.317    ,-3.164   ,    58.25  ,-1.157     ,357.537 ,   60.5   ,-548.081
12 ,     1 ,     2 ,  120 ,19795 ,0.003 ,  9 ,  9.712 ,  924.471 ,-1.887 ,  1.945 ,   79.75  ,-7.767    ,-3.283   ,    74.0   ,-1.396     ,386.644 ,   58.25  ,-537.827
11 ,     1 ,     2 ,  107 ,23236 ,0.006 ,  5 ,  9.403 ,  937.783 ,-1.836 ,  1.716 ,   81.25  ,-7.687    ,-3.518   ,    96.0   ,-1.681     ,473.562 ,   49.75  ,-464.221
10 ,     1 ,     2 ,  100 ,22605 ,0.003 , 66 ,  9.165 ,  920.916 ,-1.791 ,  1.592 ,   82.25  ,-7.572    ,-3.995   ,   124.75  ,-2.204     ,529.732 ,   42.0   ,-391.184
 9 ,     1 ,     2 ,   99 ,22953 ,0.028 , 98 , 10.036 ,  891.777 ,-2.004 ,  1.634 ,   83.75  ,-8.402    ,-4.019   ,   102.25  ,-2.015     ,507.689 ,   43.25  ,-384.088
 6 ,     1 ,     2 ,   30 , 1296 ,0.005 ,  5 ,  3.263 ,  292.397 ,-1.66  ,  2.471 ,   23.6   ,-0.792    ,-2.0     ,    27.0   ,-0.34      ,151.848 ,   34.8   ,-140.549
 7 ,     1 ,     2 ,   30 , 3255 ,0.005 ,  5 ,  3.698 ,  286.025 ,-1.544 ,  2.471 ,   24.4   ,-1.227    ,-2.03    ,    39.6   ,-0.486     ,151.403 ,   36.0   ,-134.622
 8 ,     1 ,     2 ,   30 ,23158 ,0.006 , 66 ,  9.413 ,  874.85  ,-1.759 ,  2.468 ,   73.75  ,-6.945    ,-2.102   ,    20.0   ,-0.343     ,150.671 ,   83.0   ,-724.179
 5 ,     1 ,     2 ,   29 , 1000 ,0.005 ,  5 ,  3.492 ,  285.678 ,-1.577 ,  2.406 ,   25.8   ,-1.085    ,-2.834   ,    90.0   ,-1.256     ,146.649 ,   34.2   ,-139.029
 4 ,     1 ,     2 ,   21 ,19761 ,0.007 ,  3 , 10.098 ,  883.486 ,-2.014 ,  2.568 ,   74.5   ,-7.531    ,-2.282   ,    14.0   ,-0.268     ,142.555 ,   83.75  ,-740.931
 3 ,     1 ,     2 ,    1 , 1000 ,0.005 ,  5 ,  3.9   ,  275.61  ,-1.786 ,  2.552 ,   28.8   ,-1.348    ,-2.4     ,    37.0   ,-0.614     ,149.534 ,   32.8   ,-126.075
 0 ,     1 ,     1 ,   30 , 1898 ,0.005 ,  5 ,  2.159 ,  113.794 ,-1.598 ,  2.933 ,   35.75  ,0.774     ,-2.053   ,    33.5   ,-0.455     ,157.977 ,   38.75  ,44.182
 1 ,     1 ,     1 ,   30 ,22698 ,0.005 ,  5 ,  2.081 ,  115.257 ,-1.608 ,  2.93  ,   41.0   ,0.849     ,-2.052   ,    59.0   ,-0.445     ,158.105 ,   37.0   ,42.848
 2 ,     1 ,     1 ,   30 ,23756 ,0.005 ,  5 ,  2.118 ,  111.263 ,-1.827 ,  2.931 ,   38.5   ,0.813     ,-2.028   ,    28.75  ,-0.201     ,157.755 ,   42.25  ,46.492
